,index,open,high,low,close,adjclose,volume,ticker,RSI,MACD,Signal,ma-10,ma-20,ma-30,ma-40,ma-50,ma-60,ma-70,ma-80,ma-90,ma-100,vma-10,major_trend,days_to_10,days_to_10_percent_high
1253,2023-01-24,181.08999633789065,182.0,178.6999969482422,180.8300018310547,175.8175048828125,5989000,CVX,65.55958352829123,1.2417905455969844,0.6710090159308093,178.4989990234375,177.49599990844726,175.42066650390626,176.17924957275392,177.85940032958985,178.4316665649414,177.00928562709262,174.2547498703003,171.70066646999783,170.37839981079102,7823960.0,1,1000,
1254,2023-01-25,179.2899932861328,180.02999877929688,176.35000610351562,179.0800018310547,174.1160125732422,6727500,CVX,65.85923421538598,1.1916281108660485,0.7751328349178572,178.8029998779297,177.5800003051758,175.78999989827474,176.06374969482422,177.81500030517577,178.45133336385092,177.20642852783203,174.6836248397827,171.90577765570745,170.58859985351563,7666010.0,1,1000,
1255,2023-01-26,184.9900054931641,187.80999755859372,183.47999572753903,187.7899932861328,182.58457946777344,14307800,CVX,72.82646826348369,1.8335613836515563,0.9868185446645972,180.06199951171874,177.9879997253418,176.3913330078125,176.29949951171875,177.8416000366211,178.58149998982748,177.60142844063895,175.23512477874755,172.25399983723958,170.91109985351562,8400530.0,1,1000,
1256,2023-01-27,184.22999572753903,184.22999572753903,177.9199981689453,179.4499969482422,174.47576904296875,19654700,CVX,54.18719190041593,1.6503064178978946,1.1195161193112566,180.2989990234375,178.11149978637695,176.5886662801107,176.25999946594237,177.6995999145508,178.55733337402344,177.8605712890625,175.58162479400636,172.50455542670355,171.12709976196288,9676860.0,1,1000,
1257,2023-01-30,178.0,178.33999633789062,173.6699981689453,174.1999969482422,169.3712921142578,11476000,CVX,48.723298602814566,1.0691202604795649,1.1094369475449184,179.96299896240234,177.90549926757814,176.6509994506836,176.0322494506836,177.42259979248047,178.42366663614908,178.02457122802736,175.78874969482422,172.70366651746963,171.29789978027344,10251830.0,1,1000,
1258,2023-01-31,172.75,174.6300048828125,171.4199981689453,174.02000427246094,169.19627380371094,14481300,CVX,47.32096817670739,0.5872328836879888,1.0049961347735326,179.31599884033204,177.63199920654296,176.75033315022787,175.82049942016602,177.2031997680664,178.3490000406901,178.1105712890625,175.98237476348876,172.9148888481988,171.48699981689452,10630190.0,1,1000,
1259,2023-02-01,173.30999755859375,173.66000366210938,169.5399932861328,171.36000061035156,166.61001586914062,11526400,CVX,45.14170368751598,-0.0092003433532852,0.802156839148169,178.72899932861327,177.50049896240233,176.8383331298828,175.5787494659424,176.94859985351562,178.1861666361491,178.1448569161551,176.10662479400634,173.09788886176216,171.6410998535156,10892910.0,0,1000,
1260,2023-02-02,171.1300048828125,171.42999267578125,166.82000732421875,169.00999450683594,164.32513427734375,10463400,CVX,39.90996587280753,-0.6638513603372473,0.5089551992510858,177.72999877929686,177.34399871826173,176.80933278401693,175.38999938964844,176.66899963378907,177.94599990844728,178.08514251708985,176.2188747406006,173.36722208658855,171.73149978637696,11348530.0,0,1000,
1261,2023-02-03,169.86000061035156,171.5500030517578,168.49000549316406,169.4499969482422,164.75294494628906,8404900,CVX,39.84981072607015,-1.134089411248567,0.1803462771511552,176.58499908447266,177.05449829101562,176.70199940999348,175.32599945068358,176.43319946289063,177.6766665140788,178.0325709751674,176.372749710083,173.68377753363714,171.80099975585938,11141230.0,0,1000,
1262,2023-02-06,169.55999755859375,170.1199951171875,167.3699951171875,169.63999938964844,164.9376983642578,7659500,CVX,35.42057431454354,-1.4744285508390078,-0.1506086884468774,175.48299865722657,176.70849838256837,176.53333282470703,175.25399932861328,176.10819946289064,177.41499989827474,177.95699964250838,176.5286247253418,174.0017774793837,171.90329971313477,11069050.0,0,1000,
1263,2023-02-07,170.07000732421875,174.38999938964844,169.61000061035156,174.08999633789062,169.2643280029297,10256500,CVX,45.91145685356442,-1.3692879087684844,-0.3943445325111988,174.80899810791016,176.65399856567382,176.60033264160157,175.26774940490722,175.90519927978517,177.3509999593099,177.91414249965123,176.73424968719482,174.3163330078125,172.01149963378907,11495800.0,1,1000,
